"delegator_address","amount_uluna","amount_lunc"
"terra1zet5ag8ref9mm897mzqv64dtr2lzt2nf5ry5yh","0","0"
"terra1tjlsl6ju8q4lnf8a3j5ln8rcdv3jh64ll0hak3","0","0"
"terra1jm2kwq2w9g283y67mayr2lsdh2ar6dg9h92q8k","0","0"
"terra10v32j8mwpxyxgmcn23g0p32dzkc0wgclzve746","0","0"
"terra14cy7dc2qskex9pz9esusnfn08gzcd8vd3dmtts","0","0"
"terra1pu2m2cgnl3yztatk77m449nkrljjh2gu0mdtdu","0","0"
"terra1l7n9g2vgrsn8rwgeu6y9h3s93vngvx8rpf8m22","0","0"
"terra1ay2k9r3m8pl44s5qqjs9ge3tw3kkfx2ql7lsmx","0","0"
"terra1a9s3xq07puj26nae8crt7kxc68svqv459ku8ta","0","0"
"terra1rtnc5pld006mqzevrqa82zfc52grxvp45cyarm","0","0"
"terra1ztn2sl33xgct4r0nwnvdwu89yz9sjasyk36msa","0","0"
"terra1vlwfyfpyqlywknl7e8twelkwyg2ra447ms5np6","0","0"
"terra19cz9kwagy2jv0nggvs2f6wlmsfvhaff6kgalqa","0","0"
"terra14lwtpzdhz3nc06q5pumtv2rhh7zu74unfwsssk","0","0"
"terra12akfcvv25te6hj608phfdlvunc3fjn0uhqysps","0","0"
"terra13ac6vzk76ge8wlgckw7mpj7cuqa6c33kn3rkta","0","0"
"terra1qwr5gy6xxazm6ad3uerwuxsyyduy2c730qw4th","0","0"
"terra1lanyag2mhhgvrmxsyn5h6n7l56tgkga5n52hl9","0","0"
"terra1j688xcf3fypt354emne2hek2fpkf5xcy25faka","0","0"
"terra164mt6sjurs24cv6pt2ja2th2ms628r3mtgg6y9","0","0"
"terra1w30vqvcfqs0t9mqxdersl6eleg8r7yxlsfvwd2","0","0"
"terra1uew0jq79w7g5wzm24ev2npp63lx43d0rhc3uln","0","0"
"terra1k2j88v9m7drnd3ed9r20nrrgpgrmwqqt62k4fy","0","0"
"terra10ahmvtcwsqqd2jjtputw8c6u6etjsjkmcykv2x","0","0"
"terra1cjxqwzz7nqg6wa7kx0lq53j95z6cd8tz8xpxer","0","0"
"terra1ath3ghauvpuudcnra40xdepvwwh6q5p9eel737","0","0"
"terra1y7naaqr5j522gsud4ck4ag2cqw3fvhdsd36xw6","0","0"
"terra1pjfzsrd2t5w7sfdvujnaxtuhtj37tg49f6asf6","0","0"
"terra16hz4js47hz33ah7av66hcnl9pq69fzqahx854n","0","0"
"terra1x3pxnfvek2m5ve9nc5r8pnyvaftq3cp0v65n9k","0","0"
"terra1w2puxqrsg93x3zjqw0p4xm0vws0j2x9539vdug","0","0"
"terra1ddtp3l7hahrlr3y8fw96y6g20yw8d3zffq2d8l","0","0"
"terra1v5m3cgjtsyysdej7z89stynhhxa9tledq7wmrr","0","0"
"terra1uz2napj9c4pz8fxmm06adwd2vkmp68ddslex3g","0","0"
"terra18hr3pqpnaau6t45txtz3tnmqymltv96lgax080","0","0"
"terra1t0zx0hhw0r25h4s7nu92n7h95uewfgehw5h8jy","0","0"
"terra1qvzpzhvejvgu9hgrtgl7nc8vat5574rhc06ua5","0","0"
"terra1cmfkjk63kwp537ku6z7vz9ar39c3ah8d7u6xrq","0","0"
"terra1t8xqrau6x43tdrr6fr0r5yljqu85t6js5qll40","0","0"
"terra17kfx2kt7xxcn82ylq4fweptr9y3z5y50vgw0ax","0","0"
"terra1l5ftwavdk7mac48zzzafazn5afzk672j8cucyg","0","0"
"terra1twt25w6pv0s7fdfmx63ahkcsmyhfe7apwdrhsv","0","0"
"terra1f8qw2axw553m4sdkj4erj8rpj4jgwa84c7y8sk","0","0"
"terra1sz7gy95vd5g0jams0f6ftuy64xl8jsd8hdwy9y","0","0"
"terra16ftxdhk4xhfe7wftletdw286kt8npk9hy2vx6l","0","0"
"terra1zvtr97j9xtmahmcg6fsay4ltzxc8r07c3svyh3","0","0"
"terra10jpqtj5u440rqdatuw0ev5xynw9ntl9deehyzt","0","0"
"terra10mavee3fee4cspfffnk64tdgda3v6fclckgux7","0","0"
"terra1rx4d5ufd0c8fkqufup2tq32dur6e4xaum492se","0","0"
"terra1c9e0wptvxh5x56t64pflqarv3u0dk396wsm3c0","0","0"
"terra1agmv4aj80lsqj6g8hclqkaezyyj5d84tkvmlk5","0","0"
"terra1hlha9wjsmjpusepkhr9ha0wm9letpnfktnxype","0","0"
"terra14l307q9h52nrzd6zadglsftg2yrkxsjxnsptcc","0","0"
"terra1uju9ajlxg4y8afy5feq3p37mhy9mdjqtq23tsg","0","0"
"terra17yv3mgumw2j3carjqtqgjadnzx34yfd6350whh","0","0"
"terra1r6g2rw5a02v3lyrfnkltauw83u4x07yhzus22m","0","0"
"terra1z3uxzrf3zd686whcfxjemps5sc2lx9dy80ypak","0","0"
"terra1wdtw2s3qw35t92y97jwqeq8cjv5zaw8j5w8ysu","0","0"
"terra1ldyw0w66xfvk99659favx5rjgyv2u6twxh9d4h","0","0"
"terra1xujrc3avz7f83pur3c9fmzgkragwd096s8n3ce","0","0"
"terra1skj3r9nxeqrjjt9v2tvd0sqr0lyjyj2s0p54ma","0","0"
"terra16ufymktef87tyna9euh0vjs4kdmdl2j9h5wefg","0","0"
"terra1dxz9j9c69ltqu9pzs8tzx8em4f0hkrgeq2y0fx","0","0"
"terra1z5nlkhleelqg8sc3u0cug7q2hhnrg9zec3e7e5","0","0"
"terra1x03gy6pf0tmnhychm5l4s3z4u6mt9ywrs242tg","0","0"
"terra1wwcvycxmt3gq5dmtjpufze5r8a4dgsfvx3qccp","0","0"
"terra1xjy4qgludakywdndtpjpd0t4hf2lsn2au8qd7x","0","0"
"terra1slkrqzzald63dtnsvg88xnwq366vx48jg3ax3y","0","0"
"terra1wnl8da05nwgqzzv70lep78tpuw5n4a6ylq5vts","0","0"
"terra1qwau56kk8uw3ys26vfrav73y9l5j63h5sts7ve","0","0"
"terra10gj5ps3fcsr58rmttwzw8xjfjnr4hz7vfey4tl","0","0"
"terra16llcqsvh032xypx0tyyrz0rl8wrwdc0d57e8sg","0","0"
